City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
143,Bandarbeyla,SO,9.4942,50.8122,79.32,71,66,11.23,broken clouds
144,Wiwili,NI,13.6268,-85.8254,69.82,96,46,2.86,scattered clouds
145,Aquiraz,BR,-3.9014,-38.3911,80.69,81,42,9.53,scattered clouds
146,Upernavik,GL,72.7868,-56.1549,12.69,79,100,8.37,overcast clouds
147,Kruisfontein,ZA,-34.0033,24.7314,53.06,76,0,3.76,clear sky
148,Namuac,PH,18.6109,121.1657,82.69,70,29,14.72,scattered clouds
149,Aonla,IN,28.2833,79.15,72.82,54,0,0.58,clear sky
150,Carroll,US,39.5501,-77.0164,40.86,83,75,0.0,mist
151,Old Saybrook,US,41.2918,-72.3762,50.05,70,20,5.75,few clouds
152,Coquimbo,CL,-29.9533,-71.3436,56.93,88,90,4.61,overcast clouds
153,Georgetown,MY,5.4112,100.3354,87.73,73,20,1.01,few clouds
154,Wellington,NZ,-41.2866,174.7756,55.76,68,75,7.0,broken clouds
155,Adwa,ET,14.1646,38.8955,59.27,44,17,5.32,few clouds
156,Vostok,RU,46.4856,135.8833,46.08,37,6,1.25,clear sky
157,Port Blair,IN,11.6667,92.75,84.42,73,100,10.07,overcast clouds
158,Santa Marta,CO,11.2408,-74.199,75.34,84,89,9.44,overcast clouds
159,Norman Wells,CA,65.282,-126.8329,15.84,86,90,4.61,mist
160,Beidao,CN,34.5686,105.8933,54.72,61,77,4.12,broken clouds
161,Victoria,HK,22.2855,114.1577,84.96,67,57,3.0,broken clouds
162,Nelson Bay,AU,-32.7167,152.15,79.29,54,99,4.0,overcast clouds
163,Micheweni,TZ,-4.9667,39.8333,79.41,81,35,7.81,scattered clouds
164,Tchibanga,GA,-2.85,11.0333,70.29,98,72,1.25,broken clouds
165,Longyearbyen,SJ,78.2186,15.6401,21.04,73,75,28.77,light snow
166,East London,ZA,-33.0153,27.9116,54.54,94,20,3.44,few clouds
167,Vila Velha,BR,-20.3297,-40.2925,73.35,88,0,6.91,clear sky
168,Cabo San Lucas,MX,22.8909,-109.9124,80.51,74,0,1.01,clear sky
169,Moree,AU,-29.4667,149.85,84.22,28,75,9.22,light rain
170,Lambarene,GA,-0.7001,10.2406,73.24,96,90,0.98,overcast clouds
171,Margate,GB,51.3813,1.3862,40.69,75,2,9.31,clear sky
172,Provideniya,RU,64.3833,-173.3,24.91,74,75,22.37,broken clouds
173,Monrovia,LR,6.3005,-10.7969,77.34,84,43,4.94,light rain
174,Mount Isa,AU,-20.7333,139.5,89.37,45,40,8.05,light rain
175,Sabya,SA,17.1495,42.6254,78.42,45,4,3.29,clear sky
176,Boa Vista,BR,2.8197,-60.6733,80.58,74,0,5.75,clear sky
177,Anloga,GH,5.7947,0.8973,75.42,80,79,4.59,broken clouds
178,Hobart,AU,-42.8794,147.3294,67.86,79,100,1.01,moderate rain
179,Gambela,ET,8.25,34.5833,72.23,66,40,4.79,scattered clouds
180,Nowy Dwor Gdanski,PL,54.2131,19.1177,49.14,94,100,7.72,moderate rain
181,Columbus,US,39.9612,-82.9988,41.11,70,75,10.36,broken clouds
182,Laibin,CN,23.7,109.2667,67.41,79,93,6.26,overcast clouds
183,Damghan,IR,36.1683,54.348,59.61,47,60,1.81,broken clouds
184,San Cristobal,VE,7.7669,-72.225,66.02,98,87,0.65,overcast clouds
185,Labuhan,ID,-6.8844,112.2051,87.39,62,86,5.61,overcast clouds
186,Moita Bonita,BR,-10.5775,-37.3428,77.97,97,70,5.28,broken clouds
187,Williams Lake,CA,52.1415,-122.1445,42.37,75,90,8.99,light rain
188,Pabna,BD,24.0,89.25,79.84,58,22,6.76,few clouds
189,Krutinka,RU,56.0055,71.5113,14.56,94,100,10.98,overcast clouds
190,Islamkot,PK,24.6997,70.177,83.79,22,2,9.93,clear sky
191,Tutoia,BR,-2.7619,-42.2744,79.5,82,23,10.69,few clouds
192,Bismil,TR,37.8486,40.6658,59.11,93,6,0.69,clear sky
193,Kita,ML,13.0349,-9.4895,76.59,63,15,2.17,few clouds
194,Hasaki,JP,35.7333,140.8333,70.29,52,21,11.16,few clouds
195,Saldanha,ZA,-33.0117,17.9442,48.25,74,4,6.76,clear sky
196,Paracatu,BR,-17.2222,-46.8747,71.67,79,92,2.82,overcast clouds
197,Inhambane,MZ,-23.865,35.3833,75.18,88,75,10.36,broken clouds
198,Novooleksiyivka,UA,46.2269,34.6428,53.11,92,100,8.34,overcast clouds
199,Jining,CN,35.405,116.5814,64.49,61,100,6.06,overcast clouds
200,Arlit,NE,18.7369,7.3853,74.95,19,39,6.82,scattered clouds
201,Mount Darwin,ZW,-16.7725,31.5838,76.23,43,29,3.71,scattered clouds
202,Osvaldo Cruz,BR,-21.7967,-50.8786,74.59,63,100,8.77,overcast clouds
203,Sao Felix Do Xingu,BR,-6.6447,-51.995,72.05,98,100,0.4,overcast clouds
204,Carnarvon,AU,-24.8667,113.6333,75.27,53,21,23.02,few clouds
205,Nieuw Amsterdam,SR,5.8833,-55.0833,79.02,88,7,7.78,clear sky
206,Grand-Lahou,CI,5.1367,-5.0242,76.62,87,73,2.57,broken clouds
207,Hithadhoo,MV,-0.6,73.0833,82.56,75,60,14.12,broken clouds
208,Khani,GE,41.9563,42.9566,51.37,75,100,3.42,overcast clouds
209,Bantry,IE,51.6833,-9.45,44.08,90,22,6.44,few clouds
210,Charters Towers,AU,-20.1,146.2667,93.04,25,4,13.38,clear sky
211,Nhulunbuy,AU,-12.2333,136.7667,90.21,51,75,16.11,broken clouds
212,Katsuura,JP,35.1333,140.3,69.91,50,21,6.22,few clouds
213,La Orilla,MX,17.9833,-102.2333,76.48,86,99,4.14,overcast clouds
214,Rondonopolis,BR,-16.4708,-54.6356,72.23,90,24,1.28,few clouds
215,Nankana Sahib,PK,31.4475,73.6972,68.25,37,1,7.65,clear sky
216,Gilleleje,DK,56.122,12.3106,47.86,90,17,6.15,few clouds
217,Naze,JP,28.3667,129.4833,70.72,53,15,12.59,few clouds
218,Leningradskiy,RU,69.3833,178.4167,1.72,80,100,8.05,overcast clouds
219,Gallup,US,35.5281,-108.7426,47.01,49,1,3.44,clear sky
220,Fort Nelson,CA,58.8053,-122.7002,17.19,79,20,2.3,few clouds
221,Brighton,GB,50.8284,-0.1395,42.57,88,8,5.01,clear sky
222,Klaksvik,FO,62.2266,-6.589,40.12,76,100,37.33,overcast clouds
223,Kavieng,PG,-2.5744,150.7967,84.07,71,98,3.18,light rain
224,Marawi,PH,7.9986,124.2928,75.65,71,98,4.09,overcast clouds
225,Gbarnga,LR,6.9956,-9.4722,69.35,98,69,0.6,broken clouds
226,Banjar,ID,-8.19,114.9675,87.66,66,100,2.77,overcast clouds
227,Mecca,SA,21.4267,39.8261,78.62,54,0,1.63,clear sky
228,Norsup,VU,-16.0667,167.3833,78.93,71,80,14.25,broken clouds
229,Nabire,ID,-3.3667,135.4833,85.77,68,91,5.39,overcast clouds
230,Cidreira,BR,-30.1811,-50.2056,68.79,94,97,15.43,overcast clouds
231,Colares,PT,38.7992,-9.4469,58.82,69,51,1.99,broken clouds
232,Aswan,EG,24.0934,32.907,70.9,37,0,12.66,clear sky
233,Wahiawa,US,21.5028,-158.0236,77.32,78,90,6.91,light rain
234,Progreso,MX,21.2833,-89.6667,73.51,66,62,10.85,broken clouds
235,Anadyr,RU,64.75,177.4833,-5.3,84,20,22.37,few clouds
236,Porto Belo,BR,-27.1578,-48.5531,71.58,92,55,5.44,broken clouds
237,Manta,EC,-0.95,-80.7333,71.38,83,75,9.22,broken clouds
238,Ponta Do Sol,PT,32.6667,-17.1,69.71,70,99,3.69,overcast clouds
239,Yulara,AU,-25.2406,130.9889,85.84,48,100,4.61,overcast clouds
240,Pangkalanbuun,ID,-2.6833,111.6167,92.95,49,99,2.82,overcast clouds
241,Urengoy,RU,65.9667,78.3667,-8.84,100,63,4.54,broken clouds
242,Sungaipenuh,ID,-2.0833,101.3833,73.22,77,100,0.85,overcast clouds
243,Ribeira Grande,PT,38.5167,-28.7,69.15,81,100,18.92,overcast clouds
244,Velasco Ibarra,EC,-1.05,-79.6167,77.14,71,100,6.89,overcast clouds
245,Qaqortoq,GL,60.7167,-46.0333,41.5,95,91,11.45,light rain
246,San Juan,AR,-31.5375,-68.5364,70.7,41,3,4.59,clear sky
247,Sola,VU,-13.8833,167.55,80.19,78,76,18.34,broken clouds
248,Axim,GH,4.8699,-2.2405,76.41,86,100,3.11,overcast clouds
249,Sucre,BO,-19.0333,-65.2627,57.36,75,97,2.95,overcast clouds
